Player,Nation,Pos,Squad,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,90s
Derik Lacerda,br BRA,FW,Sport Recife,1999,17,17,1446,6,0,1,1,8,0,0,26,25,9,3,8,6,0,16.1
Deyverson,br BRA,FW,Fortaleza,1991,27,12,1174,7,0,1,1,4,0,0,20,25,7,7,5,6,0,13.0
Diego Pituca,br BRA,MF,Santos,1992,10,4,392,1,0,0,0,2,0,0,6,7,0,6,3,4,0,4.4
Diego Rosa,br BRA,MF,Internacional,2002,7,1,199,0,0,0,0,0,0,0,4,2,0,12,3,2,0,2.2
Dieguinho,br BRA,MFFW,Corinthians,2007,13,4,451,0,1,0,0,0,0,0,2,10,0,23,2,4,0,5.0
Dieguinho Diego,br BRA,MF,Ceará,1995,32,31,2653,0,2,0,0,5,0,0,26,66,0,10,34,30,0,29.5
Dimitri Payet,fr FRA,MF,Vasco da Gama,1987,4,2,191,0,2,0,0,0,0,0,2,7,0,13,2,3,0,2.1
Diogo Barbosa,br BRA,DF,Fortaleza,1992,19,13,1239,1,0,0,0,2,0,0,7,14,0,22,10,18,0,13.8
Diogo Hereda,br BRA,DFMF,Sport Recife,1998,11,10,848,0,1,0,0,1,0,0,13,18,2,34,5,18,0,9.4
Dodi,br BRA,MF,Grêmio,1996,32,26,2343,0,1,0,0,9,1,0,43,37,0,3,30,29,0,26.0
Du Queiroz,br BRA,MF,Sport Recife,2000,11,8,615,0,0,0,0,0,0,0,12,0,0,7,4,6,0,6.8
Dudu,br BRA,MF,Atlético Mineiro,1992,18,14,1048,3,2,0,0,1,0,0,5,20,7,27,3,4,0,11.6
Dudu,br BRA,MF,Vitória,1999,12,2,319,0,0,0,0,7,2,2,12,6,0,0,3,9,0,3.5
Dudu,br BRA,MFFW,Cruzeiro,1992,5,2,215,1,0,0,0,0,0,0,4,7,0,2,1,1,0,2.4
Edenílson,br BRA,MF,Grêmio,1989,31,25,1802,3,2,0,0,6,0,0,18,33,2,36,16,13,0,20.0
Eder,br BRA,DF,Ceará,1995,3,3,270,0,0,0,0,0,0,0,3,1,0,0,0,0,0,3.0
Edson Carioca,br BRA,FWMF,Mirassol,1997,21,16,1168,4,2,0,0,1,0,0,29,14,2,15,7,17,0,13.0
Edu,br BRA,DF,Vitória,2000,20,12,1074,0,0,0,0,2,0,0,11,7,0,1,14,19,0,11.9
Eduardo Santos,br BRA,DF,RB Bragantino,1997,8,2,319,0,0,0,0,0,0,0,2,2,0,0,8,5,0,3.5
Eduardo Sasha,br BRA,FWMF,RB Bragantino,1992,33,30,2246,8,3,3,3,8,1,0,12,39,4,9,6,7,0,25.0
Emanuel Brítez,ar ARG,DF,Fortaleza,1992,18,18,1597,0,1,0,0,10,0,0,19,18,2,14,21,17,0,17.7
Emerson,br BRA,DF,Flamengo,1999,15,14,1247,1,1,0,0,1,0,0,18,25,0,47,21,21,0,13.9
Emiliano Martínez,uy URU,MFDF,Palmeiras,1999,25,17,1516,1,0,0,0,3,0,0,23,12,0,2,16,22,0,16.8
Emiliano Rigoni,ar ARG,FW,São Paulo,1993,10,2,294,1,0,0,0,1,1,0,8,3,7,15,2,1,0,3.3
Emmanuel Martínez,ar ARG,MF,Fortaleza,1994,14,8,741,1,1,0,0,6,0,0,18,13,1,17,6,10,0,8.2
Enmerson Batalla,co COL,MFFW,Juventude,2001,22,17,1318,4,2,0,0,3,0,0,17,31,1,47,2,17,0,14.6
Enner Valencia,ec ECU,FW,Internacional,1989,14,7,628,1,0,0,0,3,0,0,17,14,3,3,1,5,0,7.0
Enzo Díaz,ar ARG,MFDF,São Paulo,1995,27,20,1877,0,5,0,0,10,0,0,51,36,1,111,20,50,0,20.9
Eric Ramires,br BRA,MF,RB Bragantino,2000,31,24,1786,2,1,0,0,3,0,0,34,34,1,11,13,24,0,19.8
Erick,br BRA,MFDF,Bahia,1997,16,6,683,1,0,0,0,3,0,0,16,5,3,6,8,8,0,7.6
Erick,br BRA,MFFW,Vitória,1997,31,25,2054,3,5,0,0,8,0,0,26,75,2,73,15,17,0,22.8
Erick Noriega,pe PER,DFMF,Grêmio,2001,14,14,1184,0,0,0,0,3,0,0,16,10,0,3,12,7,0,13.2
