Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
138,Gabriel Chapecó,br BRA,GK,Grêmio,24,2000,6,6,540,6.0,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,a24714b4
139,Chico,br BRA,DF,Sport Recife,26,1998,13,12,1060,11.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4edc0ef3
140,Chico,br BRA,MF,Mirassol,33,1991,13,2,349,3.9,1,1,2,1,0,0,1,0,0.26,0.26,0.52,0.26,0.52,Matches,bad7d8a9
141,Christian,br BRA,MF,Cruzeiro,24,2000,30,29,2357,26.2,5,2,7,5,0,0,9,0,0.19,0.08,0.27,0.19,0.27,Matches,a856b456
142,Cipriano,br BRA,DF,Juventude,22,2002,3,3,189,2.1,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,f1a1c9e2
143,Claudinho,br BRA,DFMF,Vitória,24,2000,15,9,901,10.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,a921647d
144,Clayson,br BRA,MF,Mirassol,29,1995,6,3,256,2.8,0,1,1,0,0,0,2,0,0.00,0.35,0.35,0.00,0.35,Matches,85c1009d
145,Clayton,br BRA,DF,Internacional,24,2000,11,8,762,8.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,30afd787
146,Cleiton,br BRA,DF,Flamengo,21,2003,2,0,79,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,741c6251
147,Mateus Cocão,br BRA,MF,Vasco da Gama,22,2002,19,5,593,6.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,35f270b7
148,Igor Coronado,br BRA,MF,Corinthians,32,1992,6,3,342,3.8,1,0,1,1,0,0,1,0,0.26,0.00,0.26,0.26,0.26,Matches,8d9544ea
149,Joaquín Correa,ar ARG,MFFW,Botafogo–RJ,30,1994,18,10,898,10.0,2,0,2,2,0,0,2,0,0.20,0.00,0.20,0.20,0.20,Matches,45b9b619
150,Francisco da Costa,br BRA,FW,Mirassol,29,1995,20,13,1190,13.2,6,0,6,6,0,0,3,0,0.45,0.00,0.45,0.45,0.45,Matches,bc16535e
151,Philippe Coutinho,br BRA,MF,Vasco da Gama,32,1992,30,30,2403,26.7,5,3,8,5,0,0,3,1,0.19,0.11,0.30,0.19,0.30,Matches,0ef89a37
152,Lucas Crispim,br BRA,MF,Fortaleza,30,1994,10,5,424,4.7,1,1,2,1,0,0,0,0,0.21,0.21,0.42,0.21,0.42,Matches,6501ff61
153,Franco Cristaldo,ar ARG,MF,Grêmio,28,1996,30,11,1259,14.0,1,3,4,1,0,0,1,0,0.07,0.21,0.29,0.07,0.29,Matches,25b26e2e
