Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
94,Rafael Borré,co COL,FW,Internacional,29,1995,30,20,1809,20.1,5,2,7,4,1,1,3,1,0,38,21,14,12,7,30,,,0
95,Lucas Braga,br BRA,MFDF,Vitória,28,1996,21,11,968,10.8,1,0,1,1,0,0,1,0,0,13,25,3,15,6,15,,,0
96,Bilal Brahimi,dz ALG,FWMF,Santos,24,2000,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,,0
97,Martin Braithwaite,dk DEN,FW,Grêmio,33,1991,18,18,1456,16.2,6,1,7,2,4,4,3,0,0,23,27,2,3,4,5,,,0
98,Gabriel Brazão,br BRA,GK,Santos,24,2000,38,38,3397,37.7,0,0,0,0,0,0,2,0,0,1,13,0,0,2,1,,,0
99,Brenno,br BRA,GK,Fortaleza,25,1999,15,15,1350,15.0,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,,,0
100,Breno,br BRA,MFFW,Fortaleza,29,1996,32,29,2280,25.3,6,3,9,6,0,0,5,0,0,13,53,20,107,6,9,,,0
101,Breno,br BRA,MF,Corinthians,19,2005,33,31,2522,28.0,1,1,2,1,0,0,10,1,1,66,83,1,23,19,28,,,0
102,Emanuel Brítez,ar ARG,DF,Fortaleza,32,1992,18,18,1597,17.7,0,1,1,0,0,0,10,0,0,19,18,2,14,21,17,,,0
103,Bruninho,br BRA,MF,Fortaleza,19,2005,1,1,68,0.8,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,,,0
104,Fabrício Bruno,br BRA,DF,Cruzeiro,28,1996,33,33,2950,32.8,3,0,3,3,0,0,9,1,1,25,19,0,8,24,36,,,0
105,Kaiki Bruno,br BRA,DF,Cruzeiro,21,2003,34,34,2993,33.3,1,5,6,1,0,0,10,0,0,64,32,1,87,44,70,,,0
106,Gustavo Caballero,py PAR,MF,Santos,23,2001,12,1,332,3.7,1,1,2,1,0,0,1,0,0,8,11,2,16,7,7,,,1
107,Arthur Cabral,br BRA,FW,Botafogo–RJ,26,1998,21,16,1439,16.0,4,2,6,4,0,0,1,0,0,33,28,5,1,2,7,,,0
108,Cacá,br BRA,DF,Corinthians,25,1999,18,16,1408,15.6,2,0,2,2,0,0,4,0,0,20,17,0,1,9,21,,,0
109,Raúl Cáceres,py PAR,DFMF,Vitória,33,1991,20,20,1685,18.7,2,2,4,2,0,0,6,0,0,22,5,3,58,11,20,,,0
110,Cadu,br BRA,FW,Atlético Mineiro,20,2004,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
111,Calebe,br BRA,MF,Fortaleza,24,2000,7,2,229,2.5,1,0,1,1,0,0,2,0,0,2,5,1,8,2,2,,,0
112,Jonathan Calleri,ar ARG,FW,São Paulo,31,1993,3,2,121,1.3,0,0,0,0,0,1,0,1,0,2,2,0,0,0,1,,,0
113,João Camargo,br BRA,FW,Flamengo,17,2007,1,0,18,0.2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,,0
114,Camilo,br BRA,MFDF,Grêmio,25,1999,16,6,735,8.2,0,0,0,0,0,0,2,0,0,20,1,0,2,14,12,,,0
115,Camutanga,br BRA,DF,Vitória,31,1993,15,15,1238,13.8,0,0,0,0,0,0,7,0,0,19,9,1,0,16,10,,,0
116,Luan Cândido,br BRA,DF,Sport Recife,23,2001,16,15,1318,14.6,1,0,1,1,0,0,2,0,0,20,7,2,12,16,9,,,1
117,Germán Cano,ar ARG,FW,Fluminense,36,1988,22,18,1498,16.6,6,0,6,5,1,1,1,0,0,10,25,5,11,2,3,,,0
