Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
543,Joaquín Piquerez,uy URU,DFMF,Palmeiras,26,1998,27.3,2,2,0,12,18,0,125,26,32,,,1,Matches,46009f44
544,Rafael Pires,br BRA,GK,São Paulo,35,1989,35.0,3,0,0,0,7,0,0,0,1,,,0,Matches,539f6761
545,Lucas Piton,br BRA,DF,Vasco da Gama,24,2000,28.3,5,0,0,46,12,3,139,32,24,,,0,Matches,defce7f1
546,Isidro Pitta,py PAR,FW,RB Bragantino,25,1999,12.1,6,0,0,21,14,13,11,0,3,,,0,Matches,e9fc7295
547,Diego Pituca,br BRA,MF,Santos,32,1992,4.4,2,0,0,6,7,0,6,3,4,,,0,Matches,6f5249ed
548,Gonzalo Plata,ec ECU,MFFW,Flamengo,24,2000,15.0,0,1,0,21,15,2,17,4,17,,,0,Matches,54bcdeb0
549,Tomas Pochettino,ar ARG,MFFW,Fortaleza,28,1996,17.1,3,0,0,11,13,4,115,24,21,,,0,Matches,fb36aa6b
550,Mateo Ponte,uy URU,DF,Botafogo–RJ,21,2003,7.5,3,0,0,13,7,2,30,13,12,,,0,Matches,981e61c1
551,Gustavo Prado,br BRA,MF,Internacional,19,2005,6.2,2,0,0,6,14,2,15,0,7,,,0,Matches,511bad81
552,Kauã Prates,br BRA,DF,Cruzeiro,16,2008,3.8,1,0,0,5,1,1,10,3,9,,,0,Matches,6ecfd382
